id;name;bank_number;agency_number;last_operation_duration;mean_operation_duration;balance;opening_day;last_operation_date;active;account_type;attachment;attachment_content_type;description
1;mobile Fish;77969;59865;59685;15601;44583;2019-09-13;2019-09-13T14:00:22;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;deposit Tasty Metal Bacon Implementation;77;18182;99221;18340;61748;2019-09-13;2019-09-13T01:43:34;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;Namibia;39986;13949;4666;29214;97375;2019-09-13;2019-09-13T10:49:09;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;syndicate;98323;59241;46676;4645;85994;2019-09-13;2019-09-13T00:04:42;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;envisioneer Music Public-key;24102;44015;68326;12203;60999;2019-09-13;2019-09-12T20:24:33;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;Tuna;75536;31171;42515;52006;20794;2019-09-13;2019-09-13T02:46:51;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;Views e-enable Communications;72727;92187;32654;8849;57044;2019-09-13;2019-09-13T03:54:21;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;Louisiana Specialist Home Loan Account;27599;14092;29627;80219;16526;2019-09-13;2019-09-13T16:01:49;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;Jewelery;19884;70685;71134;72900;79017;2019-09-12;2019-09-13T01:51:46;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;Highway Ergonomic;37081;31098;66884;32518;66592;2019-09-12;2019-09-13T02:12:53;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
